Fecha,NombreFeriado,DiaSemana
2011-01-01,Año Nuevo,Sábado
2011-01-10,Día de Reyes,Lunes
2011-03-21,Día de San José,Lunes
2011-04-21,Jueves Santo,Jueves
2011-04-22,Viernes Santo,Viernes
2011-05-01,Día del trabajo,Domingo
2011-06-06,Ascensión de Jesús,Lunes
2011-06-27,Corpus Christi,Lunes
2011-07-04,Sagrado Corazón de Jesús,Lunes
2011-07-04,San Pedro y San Pablo,Lunes
2011-07-20,Día de la independencia,Miércoles
2011-08-07,Batalla de Boyacá,Domingo
2011-08-15,Asunción de la Virgen,Lunes
2011-10-17,Día de la raza,Lunes
2011-11-07,Todos los Santos,Lunes
2011-11-14,Independencia de Cartagena,Lunes
2011-12-08,Inmaculada Concepción,Jueves
2011-12-25,Navidad,Domingo
2012-01-01,Año Nuevo,Domingo
2012-01-09,Epifanía,Lunes
2012-03-19,Día de San José,Lunes
2012-04-05,Jueves Santo,Jueves
2012-04-06,Viernes Santo,Viernes
2012-05-01,Día del trabajo,Martes
2012-05-21,Ascensión de Jesús,Lunes
2012-06-11,Corpus Christi,Lunes
2012-06-18,Sagrado Corazón de Jesús,Lunes
2012-07-02,San Pedro y San Pablo,Lunes
2012-07-20,Día de la independencia,Viernes
2012-08-07,Batalla de Boyacá,Martes
2012-08-20,Asunción de la Virgen,Lunes
2012-10-15,Día de la raza,Lunes
2012-11-05,Todos los Santos,Lunes
2012-11-12,Independencia de Cartagena,Lunes
2012-12-08,Inmaculada Concepción,Sábado
2012-12-25,Navidad,Martes
2013-01-01,Año Nuevo,Martes
2013-01-07,Epifanía,Lunes
2013-03-25,Día de San José,Lunes
2013-03-28,Jueves Santo,Jueves
2013-03-29,Viernes Santo,Viernes
2013-05-01,Día del trabajo,Miércoles
2013-05-13,Ascensión de Jesús,Lunes
2013-06-03,Corpus Christi,Lunes
2013-06-10,Sagrado Corazón de Jesús,Lunes
2013-07-01,San Pedro y San Pablo,Lunes
2013-07-20,Día de la independencia,Sábado
2013-08-07,Batalla de Boyacá,Miércoles
2013-08-19,Asunción de la Virgen,Lunes
2013-10-14,Día de la raza,Lunes
2013-11-04,Todos los Santos,Lunes
2013-11-11,Independencia de Cartagena,Lunes
2013-12-08,Inmaculada Concepción,Domingo
2013-12-25,Navidad,Miércoles
2014-01-01,Año Nuevo,Miércoles
2014-01-06,Epifanía,Lunes
2014-03-24,Día de San José,Lunes
2014-04-17,Jueves Santo,Jueves
2014-04-18,Viernes Santo,Viernes
2014-05-01,Sagrado Corazón de Jesús,Jueves
2014-06-02,Día de la independencia,Lunes
2014-06-23,Batalla de Boyacá,Lunes
2014-06-30,Día del trabajo,Lunes
2014-06-30,Ascensión de Jesús,Lunes
2014-07-20,Corpus Christi,Domingo
2014-08-07,San Pedro y San Pablo,Jueves
2014-08-18,Asunción de la Virgen,Lunes
2014-10-13,Día de la raza,Lunes
2014-11-03,Todos los Santos,Lunes
2014-11-17,Independencia de Cartagena,Lunes
2014-12-08,Inmaculada Concepción,Lunes
2014-12-25,Navidad,Jueves
2015-01-01,Año Nuevo,Jueves
2015-01-12,Epifanía,Lunes
2015-03-23,Día de San José,Lunes
2015-04-02,Jueves Santo,Jueves
2015-04-03,Viernes Santo,Viernes
2015-05-01,Día del trabajo,Viernes
2015-05-18,Ascensión de Jesús,Lunes
2015-06-08,Corpus Christi,Lunes
2015-06-15,Sagrado Corazón de Jesús,Lunes
2015-06-29,San Pedro y San Pablo,Lunes
2015-07-20,Día de la independencia,Lunes
2015-08-07,Batalla de Boyacá,Viernes
2015-08-17,Asunción de la Virgen,Lunes
2015-10-12,Día de la raza,Lunes
2015-11-02,Todos los Santos,Lunes
2015-11-16,Independencia de Cartagena,Lunes
2015-12-08,Inmaculada Concepción,Martes
2015-12-25,Navidad,Viernes
2016-01-01,Año Nuevo,Viernes
2016-01-11,Epifanía,Lunes
2016-03-21,Día de San José,Lunes
2016-03-24,Jueves Santo,Jueves
2016-03-25,Viernes Santo,Viernes
2016-05-01,Día del trabajo,Domingo
2016-05-09,Ascensión de Jesús,Lunes
2016-05-30,Corpus Christi,Lunes
2016-06-06,Sagrado Corazón de Jesús,Lunes
2016-07-04,San Pedro y San Pablo,Lunes
2016-07-20,Día de la independencia,Miércoles
2016-08-07,Batalla de Boyacá,Domingo
2016-08-15,Asunción de la Virgen,Lunes
2016-10-17,Día de la raza,Lunes
2016-11-07,Todos los Santos,Lunes
2016-11-14,Independencia de Cartagena,Lunes
2016-12-08,Inmaculada Concepción,Jueves
2016-12-25,Navidad,Domingo
2017-01-01,Año Nuevo,Domingo
2017-01-09,Epifanía,Lunes
2017-03-20,Día de San José,Lunes
2017-04-13,Jueves Santo,Jueves
2017-04-14,Viernes Santo,Viernes
2017-05-01,Día del trabajo,Lunes
2017-05-29,Ascensión de Jesús,Lunes
2017-06-19,Corpus Christi,Lunes
2017-06-26,Sagrado Corazón de Jesús,Lunes
2017-07-03,San Pedro y San Pablo,Lunes
2017-07-20,Día de la independencia,Jueves
2017-08-07,Batalla de Boyacá,Lunes
2017-08-21,Asunción de la Virgen,Lunes
2017-10-16,Día de la raza,Lunes
2017-11-06,Todos los Santos,Lunes
2017-11-13,Independencia de Cartagena,Lunes
2017-12-08,Inmaculada Concepción,Viernes
2017-12-25,Navidad,Lunes
2018-01-01,Año Nuevo,Lunes
2018-01-08,Epifanía,Lunes
2018-03-19,Día de San José,Lunes
2018-03-29,Jueves Santo,Jueves
2018-03-30,Viernes Santo,Viernes
2018-05-01,Día del trabajo,Martes
2018-05-14,Ascensión de Jesús,Lunes
2018-06-04,Corpus Christi,Lunes
2018-06-11,Sagrado Corazón de Jesús,Lunes
2018-07-02,San Pedro y San Pablo,Lunes
2018-07-20,Día de la independencia,Viernes
2018-08-07,Batalla de Boyacá,Martes
2018-08-20,Asunción de la Virgen,Lunes
2018-10-15,Día de la raza,Lunes
2018-11-05,Todos los Santos,Lunes
2018-11-12,Independencia de Cartagena,Lunes
2018-12-08,Inmaculada Concepción,Sábado
2018-12-25,Navidad,Martes
